Checking for IMEI intersection between #88 and others...
Found 405 history records in #88 equipments that mention other purchases.
Equipo 12137: Ingreso inicial por compra #88.
Equipo 12138: Ingreso inicial por compra #88.
Equipo 12139: Ingreso inicial por compra #88.
Equipo 12140: Ingreso inicial por compra #88.
Equipo 12141: Ingreso inicial por compra #88.
Equipo 12142: Ingreso inicial por compra #88.
Equipo 12143: Ingreso inicial por compra #88.
Equipo 12144: Ingreso inicial por compra #88.
Equipo 12145: Ingreso inicial por compra #88.
Equipo 12146: Ingreso inicial por compra #88.
Equipo 12147: Ingreso inicial por compra #88.
Equipo 12148: Ingreso inicial por compra #88.
Equipo 12149: Ingreso inicial por compra #88.
Equipo 12150: Ingreso inicial por compra #88.
Equipo 12151: Ingreso inicial por compra #88.
Equipo 12152: Ingreso inicial por compra #88.
Equipo 12153: Ingreso inicial por compra #88.
Equipo 12154: Ingreso inicial por compra #88.
Equipo 12155: Ingreso inicial por compra #88.
Equipo 12156: Ingreso inicial por compra #88.
Equipo 12157: Ingreso inicial por compra #88.
Equipo 12158: Ingreso inicial por compra #88.
Equipo 12159: Ingreso inicial por compra #88.
Equipo 12160: Ingreso inicial por compra #88.
Equipo 12161: Ingreso inicial por compra #88.
Equipo 12162: Ingreso inicial por compra #88.
Equipo 12163: Ingreso inicial por compra #88.
Equipo 12164: Ingreso inicial por compra #88.
Equipo 12165: Ingreso inicial por compra #88.
Equipo 12166: Ingreso inicial por compra #88.
Equipo 12167: Ingreso inicial por compra #88.
Equipo 12168: Ingreso inicial por compra #88.
Equipo 12169: Ingreso inicial por compra #88.
Equipo 12170: Ingreso inicial por compra #88.
Equipo 12171: Ingreso inicial por compra #88.
Equipo 12172: Ingreso inicial por compra #88.
Equipo 12173: Ingreso inicial por compra #88.
Equipo 12174: Ingreso inicial por compra #88.
Equipo 12175: Ingreso inicial por compra #88.
Equipo 12176: Ingreso inicial por compra #88.
Equipo 12177: Ingreso inicial por compra #88.
Equipo 12178: Ingreso inicial por compra #88.
Equipo 12179: Ingreso inicial por compra #88.
Equipo 12180: Ingreso inicial por compra #88.
Equipo 12181: Ingreso inicial por compra #88.
Equipo 12182: Ingreso inicial por compra #88.
Equipo 12183: Ingreso inicial por compra #88.
Equipo 12184: Ingreso inicial por compra #88.
Equipo 12185: Ingreso inicial por compra #88.
Equipo 12186: Ingreso inicial por compra #88.
Equipo 12187: Ingreso inicial por compra #88.
Equipo 12188: Ingreso inicial por compra #88.
Equipo 12189: Ingreso inicial por compra #88.
Equipo 12190: Ingreso inicial por compra #88.
Equipo 12191: Ingreso inicial por compra #88.
Equipo 12192: Ingreso inicial por compra #88.
Equipo 12193: Ingreso inicial por compra #88.
Equipo 12194: Ingreso inicial por compra #88.
Equipo 12195: Ingreso inicial por compra #88.
Equipo 12196: Ingreso inicial por compra #88.
Equipo 12197: Ingreso inicial por compra #88.
Equipo 12198: Ingreso inicial por compra #88.
Equipo 12199: Ingreso inicial por compra #88.
Equipo 12200: Ingreso inicial por compra #88.
Equipo 12201: Ingreso inicial por compra #88.
Equipo 12202: Ingreso inicial por compra #88.
Equipo 12203: Ingreso inicial por compra #88.
Equipo 12204: Ingreso inicial por compra #88.
Equipo 12205: Ingreso inicial por compra #88.
Equipo 12206: Ingreso inicial por compra #88.
Equipo 12207: Ingreso inicial por compra #88.
Equipo 12208: Ingreso inicial por compra #88.
Equipo 12209: Ingreso inicial por compra #88.
Equipo 12210: Ingreso inicial por compra #88.
Equipo 12211: Ingreso inicial por compra #88.
Equipo 12212: Ingreso inicial por compra #88.
Equipo 12213: Ingreso inicial por compra #88.
Equipo 12214: Ingreso inicial por compra #88.
Equipo 12215: Ingreso inicial por compra #88.
Equipo 12216: Ingreso inicial por compra #88.
Equipo 12217: Ingreso inicial por compra #88.
Equipo 12218: Ingreso inicial por compra #88.
Equipo 12219: Ingreso inicial por compra #88.
Equipo 12220: Ingreso inicial por compra #88.
Equipo 12221: Ingreso inicial por compra #88.
Equipo 12222: Ingreso inicial por compra #88.
Equipo 12223: Ingreso inicial por compra #88.
Equipo 12224: Ingreso inicial por compra #88.
Equipo 12225: Ingreso inicial por compra #88.
Equipo 12226: Ingreso inicial por compra #88.
Equipo 12227: Ingreso inicial por compra #88.
